"quarter","observations","type.of.building","region","value"
"2001K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1441
"2001K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1183
"2001K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1669
"2002K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",899
"2002K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",782
"2002K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",532
"2002K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1296
"2003K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1049
"2003K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1424
"2003K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1209
"2003K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",651
"2004K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",483
"2004K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1182
"2004K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",409
"2004K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",469
"2005K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",973
"2005K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1077
"2005K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",389
"2005K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1359
"2006K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",445
"2006K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",221
"2006K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",464
"2006K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1374
"2007K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",231
"2007K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",981
"2007K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",119
"2007K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",349
"2008K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",504
"2008K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",529
"2008K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",271
"2008K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",469
