"Period","Indikator","value"
"2014M02","Övrig trävaruindustri (SNI 16.2)",101.3
"2014M03","Övrig trävaruindustri (SNI 16.2)",103.8
"2014M04","Övrig trävaruindustri (SNI 16.2)",100.4
"2014M05","Övrig trävaruindustri (SNI 16.2)",99.6
"2014M06","Övrig trävaruindustri (SNI 16.2)",104.2
"2014M07","Övrig trävaruindustri (SNI 16.2)",102.1
"2014M08","Övrig trävaruindustri (SNI 16.2)",102.2
"2014M09","Övrig trävaruindustri (SNI 16.2)",103.2
"2014M10","Övrig trävaruindustri (SNI 16.2)",101.1
"2014M11","Övrig trävaruindustri (SNI 16.2)",99.7
"2014M12","Övrig trävaruindustri (SNI 16.2)",100
"2015M01","Övrig trävaruindustri (SNI 16.2)",107.5
"2015M02","Övrig trävaruindustri (SNI 16.2)",102
"2015M03","Övrig trävaruindustri (SNI 16.2)",102.9
"2015M04","Övrig trävaruindustri (SNI 16.2)",101.9
"2015M05","Övrig trävaruindustri (SNI 16.2)",108.7
"2015M06","Övrig trävaruindustri (SNI 16.2)",110.2
"2015M07","Övrig trävaruindustri (SNI 16.2)",105.1
"2015M08","Övrig trävaruindustri (SNI 16.2)",105.6
"2015M09","Övrig trävaruindustri (SNI 16.2)",105.8
"2015M10","Övrig trävaruindustri (SNI 16.2)",107.2
"2015M11","Övrig trävaruindustri (SNI 16.2)",104.2
"2015M12","Övrig trävaruindustri (SNI 16.2)",102.6
"2016M01","Övrig trävaruindustri (SNI 16.2)",102.9
"2016M02","Övrig trävaruindustri (SNI 16.2)",105.4
"2016M03","Övrig trävaruindustri (SNI 16.2)",103
"2016M04","Övrig trävaruindustri (SNI 16.2)",101
"2016M05","Övrig trävaruindustri (SNI 16.2)",106.4
"2016M06","Övrig trävaruindustri (SNI 16.2)",103.5
"2016M07","Övrig trävaruindustri (SNI 16.2)",106.1
"2016M08","Övrig trävaruindustri (SNI 16.2)",108.4
"2016M09","Övrig trävaruindustri (SNI 16.2)",106.8
"2016M10","Övrig trävaruindustri (SNI 16.2)",108.4
"2016M11","Övrig trävaruindustri (SNI 16.2)",106
"2016M12","Övrig trävaruindustri (SNI 16.2)",108.6
"2017M01","Övrig trävaruindustri (SNI 16.2)",108.4
"2017M02","Övrig trävaruindustri (SNI 16.2)",105.9
"2017M03","Övrig trävaruindustri (SNI 16.2)",107.3
"2017M04","Övrig trävaruindustri (SNI 16.2)",112.9
"2017M05","Övrig trävaruindustri (SNI 16.2)",107.4
"2017M06","Övrig trävaruindustri (SNI 16.2)",107.6
"2017M07","Övrig trävaruindustri (SNI 16.2)",110.5
"2017M08","Övrig trävaruindustri (SNI 16.2)",108.6
"2017M09","Övrig trävaruindustri (SNI 16.2)",110.6
"2017M10","Övrig trävaruindustri (SNI 16.2)",109.2
"2017M11","Övrig trävaruindustri (SNI 16.2)",110.7
"2017M12","Övrig trävaruindustri (SNI 16.2)",109.1
"2018M01","Övrig trävaruindustri (SNI 16.2)",106.9
"2018M02","Övrig trävaruindustri (SNI 16.2)",107.1
"2018M03","Övrig trävaruindustri (SNI 16.2)",103.1
"2018M04","Övrig trävaruindustri (SNI 16.2)",103.4
"2018M05","Övrig trävaruindustri (SNI 16.2)",101.3
"2018M06","Övrig trävaruindustri (SNI 16.2)",99.3
"2018M07","Övrig trävaruindustri (SNI 16.2)",97.9
"2018M08","Övrig trävaruindustri (SNI 16.2)",94.8
"2018M09","Övrig trävaruindustri (SNI 16.2)",97.5
"2018M10","Övrig trävaruindustri (SNI 16.2)",93.2
"2018M11","Övrig trävaruindustri (SNI 16.2)",94.5
"2018M12","Övrig trävaruindustri (SNI 16.2)",94.6
"2019M01","Övrig trävaruindustri (SNI 16.2)",93.9
"2019M02","Övrig trävaruindustri (SNI 16.2)",94.8
"2019M03","Övrig trävaruindustri (SNI 16.2)",96.1
"2019M04","Övrig trävaruindustri (SNI 16.2)",95.7
"2019M05","Övrig trävaruindustri (SNI 16.2)",99.3
"2019M06","Övrig trävaruindustri (SNI 16.2)",97.7
"2019M07","Övrig trävaruindustri (SNI 16.2)",94.9
"2019M08","Övrig trävaruindustri (SNI 16.2)",94.5
"2019M09","Övrig trävaruindustri (SNI 16.2)",97.5
"2019M10","Övrig trävaruindustri (SNI 16.2)",97.3
"2019M11","Övrig trävaruindustri (SNI 16.2)",95.7
"2019M12","Övrig trävaruindustri (SNI 16.2)",97.8
"2020M01","Övrig trävaruindustri (SNI 16.2)",95.1
"2020M02","Övrig trävaruindustri (SNI 16.2)",97.9
"2020M03","Övrig trävaruindustri (SNI 16.2)",95.1
"2020M04","Övrig trävaruindustri (SNI 16.2)",91.1
"2020M05","Övrig trävaruindustri (SNI 16.2)",93.8
"2020M06","Övrig trävaruindustri (SNI 16.2)",95.9
"2020M07","Övrig trävaruindustri (SNI 16.2)",95.6
"2020M08","Övrig trävaruindustri (SNI 16.2)",97.9
"2020M09","Övrig trävaruindustri (SNI 16.2)",97.6
"2020M10","Övrig trävaruindustri (SNI 16.2)",102.5
"2020M11","Övrig trävaruindustri (SNI 16.2)",105.1
"2020M12","Övrig trävaruindustri (SNI 16.2)",102
"2021M01","Övrig trävaruindustri (SNI 16.2)",107.2
"2021M02","Övrig trävaruindustri (SNI 16.2)",106.4
"2021M03","Övrig trävaruindustri (SNI 16.2)",109.5
"2021M04","Övrig trävaruindustri (SNI 16.2)",110.9
"2021M05","Övrig trävaruindustri (SNI 16.2)",113.5
"2021M06","Övrig trävaruindustri (SNI 16.2)",114.7
"2021M07","Övrig trävaruindustri (SNI 16.2)",114.6
"2021M08","Övrig trävaruindustri (SNI 16.2)",111.7
"2021M09","Övrig trävaruindustri (SNI 16.2)",116.6
"2021M10","Övrig trävaruindustri (SNI 16.2)",114.8
"2021M11","Övrig trävaruindustri (SNI 16.2)",114.6
"2021M12","Övrig trävaruindustri (SNI 16.2)",118.8
"2022M01","Övrig trävaruindustri (SNI 16.2)",114.4
"2022M02","Övrig trävaruindustri (SNI 16.2)",113.9
"2022M03","Övrig trävaruindustri (SNI 16.2)",109.5
"2022M04","Övrig trävaruindustri (SNI 16.2)",111.5
"2022M05","Övrig trävaruindustri (SNI 16.2)",106.4
"2022M06","Övrig trävaruindustri (SNI 16.2)",102.1
"2022M07","Övrig trävaruindustri (SNI 16.2)",103.5
"2022M08","Övrig trävaruindustri (SNI 16.2)",107.1
